word,topic,annotator_note
congelado,descripciones,
conocida,descripciones,
corazón,cotidiano,
corderos,ecosistema,
cosechamos,trabajo,
cosechar,trabajo,
cosechas,trabajo,
costumbre,cultura/tradiciones,
creemos,identidad,
cría,trabajo,
cubrimos,experiencias,
cuerdas,trabajo,
cultivos,trabajo,
deliciosa,descripciones,
desierto,ecosistema,
dormir,cotidiano,
espinacas,cocina,
estero,ecosistema,
fajas,cotidiano,
fallecidos,salud/bienestar,
fallecía,salud/bienestar,
fantasma,cultura/tradiciones,
favoritos,identidad,
febrero,experiencias,
finos,descripciones,
floreo,cultura/tradiciones,
gris,descripciones,
guitarra,expresión artística,
hijos,relaciones,
hipe,geografía,
hoyitos,ecosistema,
huevos,cocina,
ingredientes,cocina,
inteligentes,descripciones,
intenta,aprendizaje,
juegan,actividades,
junio,experiencias,
justo,descripciones,
lagos,ecosistema,
levantaban,experiencias,
llamas,ecosistema,
lloviendo,ecosistema,
luche,cocina,
líder,trabajo,
mapuche,cultura/tradiciones,
mapuches,cultura/tradiciones,
mariscar,trabajo,
mariscos,cocina,
montar,actividades,
montaña,ecosistema,
niebla,ecosistema,
nubes,ecosistema,
océano,ecosistema,
ordeñar,trabajo,
pacífico,descripciones,
paisaje,geografía,
palos,cotidiano,
parcela,geografía,
pastor,trabajo,
patio,infraestructura urbana,
pelado,descripciones,
peligrosos,descripciones,
perejil,cocina,
pesados,descripciones,
pez,ecosistema,
piedra,ecosistema,
pimienta,cocina,
pito,geografía,
plantando,trabajo,
plantar,trabajo,
plata,cotidiano,
plato,cocina,
plumas,cotidiano,
porotos,cocina,
poza,ecosistema,
quebrada,geografía,
quilla,expresión artística,ropa
rano,ecosistema,
ratones,ecosistema,
rayo,ecosistema,
remar,actividades,
roa,geografía,
rural,geografía,
saltos,actividades,
saludamos,aprendizaje,
salvajes,descripciones,
seres,cultura/tradiciones,
solos,sentimientos,
sueño,identidad,
susto,sentimientos,
tallaban,experiencias,
tejer,expresión artística,
tejimos,experiencias,
telar,expresión artística,
terminar,sin definir,
tibia,descripciones,
tiburón,ecosistema,
tiña,actividades,juego
tortuga,ecosistema,
tradición,cultura/tradiciones,
trompe,expresión artística,instr
truchas,ecosistema,
técnica,trabajo,
ukelele,expresión artística,
uso,sin definir,
uta,trabajo,
vecino,relaciones,
venenosos,descripciones,
zorro,ecosistema,
colores,descripciones,
cura,salud/bienestar,
flores,ecosistema,
frutas,ecosistema,
gallinas,ecosistema,
ricas,descripciones,
teje,expresión artística,
trajes,expresión artística,
amigos,relaciones,
rica,descripciones,
llueve,ecosistema,
trabaja,trabajo,
vive,experiencias,
azules,descripciones,
bicicleta,actividades,
bonitos,descripciones,
buena,identidad,
caja,cotidiano,
cielo,ecosistema,
cuidamos,aprendizaje,
enfermos,salud/bienestar,
historias,experiencias,
maya,cultura/tradiciones,
pescar,trabajo,
pintamos,expresión artística,
pinturas,expresión artística,
sembrar,trabajo,
tarde,cotidiano,
tradicional,cultura/tradiciones,
traje,expresión artística,
ayudo,aprendizaje,
celebramos,cultura/tradiciones,
lugares,geografía,
mundo,geografía,
acompañarlo,aprendizaje,
atrapamos,experiencias,
atrapar,actividades,
ayudarlo,aprendizaje,
ayudemos,aprendizaje,
bailo,expresión artística,
bandeja,cotidiano,
barco,trabajo,
batería,expresión artística,
bendiciones,cultura/tradiciones,
bosques,ecosistema,
buenas,identidad,
café,descripciones,
caliente,descripciones,
canta,expresión artística,
capa,cotidiano,
cargar,trabajo,
cariño,sentimientos,
cebolla,cocina,
chanchos,ecosistema,
chico,descripciones,
cilantro,cocina,
coman,cocina,
competencia,actividades,
conversar,relaciones,
cordero,ecosistema,
coronas,cotidiano,
corre,actividades,
cortar,trabajo,
cuero,trabajo,
dibujos,expresión artística,
elegimos,experiencias,
escuchamos,experiencias,
espada,ecosistema,pez
extraños,descripciones,
frontera,geografía,
gigantes,descripciones,
harina,cocina,
hermanito,relaciones,
juego,actividades,
juntamos,experiencias,
leche,cocina,
lindo,descripciones,
mañanas,cotidiano,
minga,cultura/tradiciones,
mote,cocina,
naturales,ecosistema,
necesita,sentimientos,
negras,descripciones,
palitos,cotidiano,
paya,aprendizaje,
pescamos,experiencias,
pinta,expresión artística,
pintan,expresión artística,
pollo,cocina,
pompones,cotidiano,acaaa
pájaros,ecosistema,
rato,experiencias,
recuerdan,experiencias,
regar,trabajo,
respeto,aprendizaje,
rey,cultura/tradiciones,
ríos,ecosistema,
sabe,aprendizaje,
saber,aprendizaje,
sagrada,cultura/tradiciones,
sagrados,cultura/tradiciones,
salir,actividades,
salud,salud/bienestar,
sembramos,trabajo,
taza,cocina,
tomate,cocina,
tostada,cocina,
tío,relaciones,
vertiente,ecosistema,
vestimos,experiencias,
visto,experiencias,
volcanes,ecosistema,
volcán,ecosistema,
zorros,ecosistema,
bailar,expresión artística,
conejo,ecosistema,
dios,cultura/tradiciones,
hierbas,ecosistema,
leyendas,cultura/tradiciones,
peces,ecosistema,
pongo,sin definir,
preparamos,trabajo,
rojas,descripciones,
tener,sin definir,
verano,ecosistema,
comida,cocina,
encanta,identidad,gustar
cuenta,experiencias,
viento,ecosistema,
mamá,relaciones,
animales,ecosistema,
bailamos,expresión artística,
comer,cocina,
plantas,ecosistema,
tata,relaciones,
vivo,identidad,
andar,actividades,
baile,expresión artística,
cae,sin definir,
gato,ecosistema,
juntos,relaciones,
lengua,cotidiano,
playa,ecosistema,
sombrero,cotidiano,
tortugas,ecosistema,
jugar,actividades,
lugar,geografía,
agüita,ecosistema,
antiguas,experiencias,
aprendiendo,aprendizaje,
buen,identidad,
cocina,cocina,
cocinar,cocina,
cola,descripciones,
contar,experiencias,
crece,salud/bienestar,
cuerpo,cotidiano,
estrellas,ecosistema,
forma,descripciones,
hablamos,relaciones,
partes,sin definir,
participamos,actividades,
pescados,ecosistema,
piscina,infraestructura urbana,
plantamos,trabajo,
recreo,actividades,
roja,descripciones,
semillas,ecosistema,
suena,descripciones,
tejido,expresión artística,
tocar,actividades,
tomar,actividades,
vida,ecosistema,
cosas,sin definir,
carnaval,cultura/tradiciones,
familia,relaciones,
frío,ecosistema,
fiesta,actividades,
comemos,cocina,
entretenido,sentimientos,
gustaría,identidad,
leña,trabajo,
música,expresión artística,
noche,cotidiano,
tradiciones,cultura/tradiciones,
vivir,salud/bienestar,
bonita,descripciones,
comunidad,relaciones,
árboles,ecosistema,
día,cotidiano,
escuela,aprendizaje,
gente,cotidiano,
adultos,cotidiano,
araucaria,ecosistema,
barcos,trabajo,
brasil,geografía,
cabras,ecosistema,
campo,ecosistema,
caña,ecosistema,
comparsa,cultura/tradiciones,
creo,identidad,
cuida,aprendizaje,
enseña,aprendizaje,
enseñan,aprendizaje,
enseñó,aprendizaje,
especial,identidad,
espíritu,cultura/tradiciones,
hermana,relaciones,
hombre,cotidiano,
instrumentos,trabajo,
lanchas,infraestructura urbana,
leer,aprendizaje,
lluvia,ecosistema,
negro,descripciones,
ofrendas,cultura/tradiciones,
pehuenche,cultura/tradiciones,
red,trabajo,
sagrado,cultura/tradiciones,
llamo,ecosistema,
caballos,ecosistema,
pelota,cotidiano,
bonito,descripciones,
personas,cotidiano,
arenas,ecosistema,
cabeza,cotidiano,
corriendo,actividades,
divertido,identidad,
dulces,cocina,
feliz,sentimientos,
fiestas,actividades,
gira,actividades,
laguna,ecosistema,
luna,ecosistema,
maní,cocina,
perrito,ecosistema,
pies,cotidiano,
pulseras,cotidiano,
salvador,geografía,
turistas,descripciones,
viernes,cotidiano,
yaguas,cultura/tradiciones,
árbol,ecosistema,
maíz,cocina,
rico,descripciones,
súper,descripciones,
abrazos,sentimientos,
abrigamos,cotidiano,
abrigarme,cotidiano,
abril,experiencias,
abuelas,relaciones,
acampar,actividades,
acaricié,actividades,
aceituna,cocina,
aceleración,sin definir,
acepten,aprendizaje,
acompañamos,aprendizaje,
acompañar,aprendizaje,
acompañarla,aprendizaje,
acordeón,expresión artística,
acostar,cotidiano,
acostumbrados,experiencias,
acostumbré,experiencias,
actuado,expresión artística,
administrador,trabajo,
adorno,descripciones,
adornos,descripciones,
afirmarse,sin definir,
afortunada,descripciones,
africana,cultura/tradiciones,
afrodescendientes,cultura/tradiciones,
agosto,experiencias,
agradecerles,aprendizaje,
agradecimiento,aprendizaje,
agricultura,trabajo,
aguaje,trabajo,
aguijones,descripciones,
aire,ecosistema,
aires,ecosistema,
alba,ecosistema,
alcohol,cocina,
alegres,sentimientos,
alegóricos,descripciones,
alimentarnos,cotidiano,
alimento,cocina,
altar,cultura/tradiciones,
amanece,cotidiano,
anacondas,ecosistema,
ancestrales,cultura/tradiciones,
angelitos,expresión artística,
anguila,ecosistema,
antigua,cultura/tradiciones,
antiguamente,cultura/tradiciones,
aplaude,sentimientos,
aprenderla,aprendizaje,
aprendimos,aprendizaje,
ara'pyau,actividades,
arañas,ecosistema,
arcoíris,ecosistema,
arenilla,ecosistema,
aretes,cotidiano,
armadillos,ecosistema,
armonía,descripciones,
arqueóloga,trabajo,
arquitectos,trabajo,
arrastran,experiencias,
artesana,trabajo,
artesanas,trabajo,
artesanías,expresión artística,
artificial,descripciones,
artificiales,descripciones,
asar,cocina,
asistimos,experiencias,
asustados,sentimientos,
atacama,geografía,
atrapa,actividades,
atrapan,actividades,
atrapas,actividades,
atrapen,actividades,
atrio,geografía,
austriacos,cultura/tradiciones,
autos,infraestructura urbana,
avena,cocina,
aventura,actividades,
aves,ecosistema,
aviones,infraestructura urbana,
avión,infraestructura urbana,
ayudan,aprendizaje,
ayudarla,aprendizaje,
ayudarle,aprendizaje,
ayudaron,aprendizaje,
ayude,aprendizaje,
ayudó,aprendizaje,
baila,expresión artística,
bailarines,trabajo,
bajón,expresión artística,instrumento
balón,cotidiano,
banana,cocina,
banda,trabajo,
bandera,cultura/tradiciones,
banderas,cultura/tradiciones,
bandurria,ecosistema,
barandas,infraestructura urbana,
barcazas,infraestructura urbana,
barra,cotidiano,
barrio,geografía,
basura,cotidiano,
baña,trabajo,
bañar,trabajo,
bañarse,cotidiano,
bebida,cocina,
bella,descripciones,
belleza,descripciones,
beso,sentimientos,
bisabuela,relaciones,
blancos,descripciones,
boina,cotidiano,
bolita,actividades,
bolitas,actividades,
bolsa,cotidiano,
bolsos,cotidiano,
bombo,expresión artística,
bondad,aprendizaje,
bonitas,descripciones,
bordado,expresión artística,
bordamos,expresión artística,
bordé,expresión artística,
bordó,expresión artística,
botada,descripciones,
botan,sin definir,
botarlas,sin definir,
botella,cotidiano,
botellas,cotidiano,
brasas,cotidiano,
brasileros,cultura/tradiciones,
brillo,descripciones,
brincamos,actividades,
brincar,actividades,
bruja,cultura/tradiciones,
bulla,descripciones,
burlan,descripciones,
bus,infraestructura urbana,
buscamos,actividades,
básico,descripciones,
caca,ecosistema,
calavera,cultura/tradiciones,
calceta,cotidiano,
calcetines,cotidiano,
calentarnos,actividades,
calentitas,descripciones,
calentito,descripciones,
calles,infraestructura urbana,
calmo,descripciones,
cama,cotidiano,
camarones,ecosistema,
cambian,descripciones,
cambiando,descripciones,
cambien,descripciones,
camioneta,infraestructura urbana,
camisa,cotidiano,
campanilla,cotidiano,
cancha,infraestructura urbana,
canción,expresión artística,
candela,cultura/tradiciones,
canoa,infraestructura urbana,
cansado,sentimientos,
cantaros,expresión artística,
cantos,expresión artística,
caparazón,ecosistema,
capital,geografía,
capítulo,experiencias,
cara,cotidiano,
carabinero,trabajo,
carambola,cocina,
carros,infraestructura urbana,
cartón,cotidiano,
caso,cocina,
cazador,trabajo,
cazamos,actividades,
cazuelas,cocina,
cebollas,cocina,
ceiba,ecosistema,
celebra,cultura/tradiciones,
celebraciones,cultura/tradiciones,
celular,cotidiano,
cenero,geografía,
cenote,geografía,
cenotes,geografía,
centollas,ecosistema,
cepillamos,trabajo,
cepillo,cotidiano,
cerbatanas,cultura/tradiciones,
cercano,relaciones,
cerdito,ecosistema,
cerdo,ecosistema,
cerrada,descripciones,
cerros,ecosistema,
chacha,ecosistema,
chaleco,cotidiano,
chapadas,descripciones,
chapita,cotidiano,
chapitas,cotidiano,
charcos,sin definir,
che,aprendizaje,
chica,descripciones,
chichones,salud/bienestar,
chino,cultura/tradiciones,
chiquita,descripciones,
chiquitas,descripciones,
chispa,cotidiano,
chocamos,experiencias,
claro,descripciones,
clase,aprendizaje,
climas,ecosistema,
cobra,ecosistema,
cocidos,cocina,
cocinado,cocina,
cocinamos,trabajo,
colación,cocina,
colegios,aprendizaje,
collar,cotidiano,
collares,cotidiano,
colombiana,cultura/tradiciones,
colombianos,cultura/tradiciones,
coloridas,descripciones,
coma,cocina,
comentar,relaciones,
comernos,cotidiano,
comeré,cotidiano,
cometas,ecosistema,
comimos,experiencias,
comparación,descripciones,
compartimos,aprendizaje,
compañeras,relaciones,
complicado,descripciones,
comprarse,actividades,
compró,experiencias,
computador,trabajo,
comía,experiencias,
comían,experiencias,
conciencia,aprendizaje,
conectándose,relaciones,
conejito,ecosistema,
confiar,aprendizaje,
congela,descripciones,
conocemos,aprendizaje,
conocen,aprendizaje,
conocer,aprendizaje,
conocerlas,aprendizaje,
conocidos,relaciones,
conocí,aprendizaje,
conseguían,experiencias,
consiste,descripciones,
construimos,trabajo,
construyendo,trabajo,
construyó,trabajo,
contamos,experiencias,
contando,actividades,
contenta,sentimientos,
conversamos,relaciones,
conversando,relaciones,
corona,cotidiano,
corremos,actividades,
cortina,cotidiano,
cortó,experiencias,
cosecha,trabajo,
costurera,trabajo,
creciendo,experiencias,
creen,cultura/tradiciones,
cremas,salud/bienestar,
criar,trabajo,
cristalina,descripciones,
cristo,cultura/tradiciones,
cuaderno,aprendizaje,
cuajo,descripciones,
cuentan,experiencias,
cueva,geografía,
cuidado,aprendizaje,
cuidadosa,descripciones,
cuidarse,salud/bienestar,salud y salud/bienestar
cuiden,aprendizaje,
culebras,ecosistema,
cultiva,trabajo,
cumpleaños,cultura/tradiciones,
curamos,trabajo,
curandera,trabajo,
curanderas,trabajo,
curiosos,descripciones,
curó,trabajo,
césped,ecosistema,
cómeme,sin definir,
danzas,expresión artística,
decidimos,experiencias,
dedo,cotidiano,
dejamos,experiencias,
delgada,descripciones,
deliciosas,descripciones,
demora,descripciones,
departamento,infraestructura urbana,
deporte,actividades,
desconocido,descripciones,
deslizamos,experiencias,
despeinada,descripciones,
dibujan,expresión artística,
dibujando,expresión artística,
dibujantes,trabajo,
dibujo,expresión artística,
dieran,aprendizaje,
diferencian,descripciones,
difuntos,salud/bienestar,
difícil,descripciones,
dinero,trabajo,
dionisia,cultura/tradiciones,
dioses,cultura/tradiciones,
dique,infraestructura urbana,
diseños,expresión artística,
disfracé,expresión artística,
disfrazamos,expresión artística,
disfrazan,actividades,
distinta,descripciones,
doctor,trabajo,
dolió,sentimientos,
dolor,sentimientos,
domingo,cotidiano,
domingos,cotidiano,
dominó,actividades,
dormimos,cotidiano,
dueños,trabajo,
educación,aprendizaje,
educados,aprendizaje,
elegidos,descripciones,
elegí,identidad,
elige,identidad,
embarcaciones,infraestructura urbana,
emplumada,descripciones,
encantador,identidad,
encebado,descripciones,
enciende,actividades,
encontró,experiencias,
encuentros,actividades,
energía,salud/bienestar,
enferman,salud/bienestar,
enfermas,salud/bienestar,
enfermedad,salud/bienestar,
enfermedades,salud/bienestar,
enfermera,trabajo,
engañando,aprendizaje,
enjabonar,trabajo,
enjuaga,trabajo,
enreda,descripciones,
ensayamos,aprendizaje,
enseñado,aprendizaje,
enseñarles,aprendizaje,
enseñaron,aprendizaje,
enseñe,aprendizaje,
entiendo,aprendizaje,
entorno,geografía,
entramos,experiencias,
entrega,trabajo,
entregan,trabajo,
entretenida,sentimientos,
envidiosos,descripciones,
envuelven,trabajo,
escaleras,infraestructura urbana,
escapa,actividades,
escapan,actividades,
escarcha,ecosistema,
escondernos,actividades,
escultor,trabajo,
esculturas,expresión artística,
espanten,sentimientos,
especiales,descripciones,
espinas,ecosistema,
esposo,relaciones,
espuelas,cultura/tradiciones,
espíritus,cultura/tradiciones,
esquirla,trabajo,
estaciones,ecosistema,
estadio,infraestructura urbana,
estanque,ecosistema,
estatuas,cultura/tradiciones,
estudia,aprendizaje,
estudiar,aprendizaje,
estómago,cotidiano,
evitar,sin definir,
existe,experiencias,
experimentos,actividades,
explotó,descripciones,
faldeo,cultura/tradiciones,
falleció,salud/bienestar,
falsas,descripciones,
familias,relaciones,
fantasías,identidad,
farmacia,infraestructura urbana,
faro,infraestructura urbana,
faroles,infraestructura urbana,
fea,descripciones,
feria,infraestructura urbana,
festejamos,cultura/tradiciones,
fibra,cotidiano,
fiebre,salud/bienestar,
flechas,cultura/tradiciones,
flojo,descripciones,
flota,descripciones,
folclórica,cultura/tradiciones,
fonda,cultura/tradiciones,
fondas,cultura/tradiciones,
formas,descripciones,
fresa,cocina,
frijoles,cocina,
frita,cocina,
fruto,ecosistema,
fuegos,actividades,
fuerza,descripciones,
fuma,descripciones,
fumigar,trabajo,
futuro,identidad,
física,aprendizaje,
galleta,cocina,
gallina,ecosistema,
ganado,ecosistema,
ganamos,experiencias,
ganar,experiencias,
ganaré,identidad,
gané,experiencias,
garras,descripciones,
gata,ecosistema,
gatos,ecosistema,
generar,actividades,
genial,identidad,
geniales,identidad,
gimnasio,infraestructura urbana,
globos,cotidiano,
golpea,actividades,
golpearlas,actividades,
golpeas,actividades,
gotas,ecosistema,
grabara,actividades,
grafitero,trabajo,
gruesa,descripciones,
grupo,relaciones,
grupos,relaciones,
guante,cotidiano,
guardar,trabajo,
guardianes,cultura/tradiciones,
guardián,cultura/tradiciones,
guaso,cultura/tradiciones,
guato,expresión artística,
gustaba,identidad,
gustaban,identidad,
habitaban,experiencias,
hablan,experiencias,
hablarles,relaciones,
haciéndolo,sin definir,
hagan,sin definir,
hambriento,descripciones,
hecha,descripciones,
helada,descripciones,
helados,cocina,
hembras,ecosistema,
hermoso,descripciones,
herramientas,trabajo,
hielo,ecosistema,
higos,cocina,
himno,cultura/tradiciones,
hombros,cotidiano,
hongo,ecosistema,
honor,aprendizaje,
hora,cotidiano,
hospital,infraestructura urbana,
huairuro,ecosistema,
huelen,descripciones,
huertas,trabajo,
huertos,trabajo,
huesos,ecosistema,
huevo,cocina,
humo,ecosistema,
idea,identidad,
idioma,cultura/tradiciones,
ignaciano,cultura/tradiciones,
increíble,identidad,
indio,cultura/tradiciones,
informar,aprendizaje,
ingleses,cultura/tradiciones,
injusto,sentimientos,
internado,infraestructura urbana,
invento,experiencias,
invernadas,ecosistema,
invito,aprendizaje,
jabones,salud/bienestar,
jaca,cocina,
jalma,cultura/tradiciones,
japón,geografía,
jefe,trabajo,
jugando,actividades,
jugos,cocina,
juguetean,actividades,
juguetón,descripciones,
julio,experiencias,
junta,relaciones,
junto,relaciones,
jurado,trabajo,
ka'a,ecosistema,
lanzar,actividades,
lanzarlas,actividades,
lata,sentimientos,
lavan,trabajo,
lee,actividades,
leemos,actividades,
lenguaje,aprendizaje,
lento,descripciones,
levantar,sin definir,
levantarnos,cotidiano,
levantaron,sin definir,
leyendo,actividades,
libres,descripciones,
libros,aprendizaje,
lima,geografía,
listo,descripciones,
llamaba,experiencias,
llamamos,experiencias,
llantén,geografía,
llega,descripciones,
llego,descripciones,
llegué,experiencias,
llegó,experiencias,
llevaba,experiencias,
llevan,trabajo,
llevarnos,sin definir,
llevo,trabajo,
llevárselos,sin definir,
llover,ecosistema,
llueva,ecosistema,
lluvias,ecosistema,
loica,ecosistema,
loza,cotidiano,
lápices,expresión artística,
macheteros,trabajo,
macho,ecosistema,
machos,ecosistema,
madres,relaciones,
maestra,relaciones,
majas,ecosistema,
malla,cotidiano,
maloca,geografía,
malos,descripciones,
maltratados,descripciones,
mama,relaciones,
mancha,descripciones,
mandarles,sin definir,
manilla,cotidiano,
manos,cotidiano,
mantener,aprendizaje,
manualidades,expresión artística,
manzana,cocina,
manzanilla,cocina,
maquetas,expresión artística,
marcadas,descripciones,
marcos,sin definir,
mariposa,ecosistema,
marzo,experiencias,
masa,cocina,
mataré,sentimientos,
mate,cocina,
matemáticas,aprendizaje,
matico,ecosistema,
mayo,experiencias,
mayoría,descripciones,
medalla,actividades,
medialunas,cocina,
medicina,salud/bienestar,
mejoramos,identidad,
mejores,identidad,
membrillo,cocina,
menor,descripciones,
menstruamos,salud/bienestar,
mercado,infraestructura urbana,
meses,experiencias,
metal,trabajo,
meten,sin definir,
metros,descripciones,
metían,experiencias,
mezclamos,trabajo,
microbio,ecosistema,
mira,actividades,
mirando,actividades,
mirar,actividades,
mojos,geografía,
molde,trabajo,
molido,cocina,
molino,trabajo,
monedas,cotidiano,
monederos,cotidiano,
monumentos,cultura/tradiciones,
moradas,geografía,
morado,descripciones,
moto,infraestructura urbana,
motocicleta,infraestructura urbana,
mover,trabajo,
moverla,trabajo,
muchacha,cotidiano,
mueren,salud/bienestar,
muerto,descripciones,
mueven,trabajo,
mujeres,cotidiano,
mundial,geografía,
murallas,infraestructura urbana,
murga,expresión artística,
murgas,expresión artística,
murió,descripciones,
muña,ecosistema,
mágico,cultura/tradiciones,
máquina,trabajo,
máscara,expresión artística,
máximo,descripciones,
médicos,trabajo,
músico,trabajo,
nace,salud/bienestar,
nacional,cultura/tradiciones,
nación,geografía,
nací,identidad,
nadador,trabajo,
nadando,actividades,
nahuas,cultura/tradiciones,
naranjas,cocina,
naranjo,descripciones,
nariz,cotidiano,
nativa,cultura/tradiciones,
natural,ecosistema,
navales,descripciones,
navegamos,actividades,
navegar,actividades,
navidad,cultura/tradiciones,
necesitamos,identidad,
neumáticos,infraestructura urbana,
nieves,ecosistema,
norte,geografía,
noviembre,experiencias,
números,aprendizaje,
obligaban,experiencias,
obra,trabajo,
ofrecieron,experiencias,
ofrenda,cultura/tradiciones,
olla,cocina,
olor,descripciones,
olores,descripciones,
olviden,aprendizaje,
once,cotidiano,
opción,sin definir,
operaria,trabajo,
orar,cultura/tradiciones,
ordenada,descripciones,
originario,cultura/tradiciones,
originarios,cultura/tradiciones,
orillas,sin definir,
orquesta,expresión artística,
oso,ecosistema,
pacas,ecosistema,
padres,relaciones,
pago,trabajo,
pajaritos,ecosistema,
paleontólogo,trabajo,
palmares,ecosistema,
pan,cocina,
pandemia,salud/bienestar,
pantalones,cotidiano,
pantufla,cotidiano,
pantuflas,cotidiano,
papel,cotidiano,
papás,relaciones,
parecen,descripciones,
parecidos,descripciones,
pareció,descripciones,
pared,infraestructura urbana,
paro,sin definir,
parque,infraestructura urbana,
parques,infraestructura urbana,
participan,actividades,
participar,actividades,
participo,actividades,
pasaban,experiencias,
pasado,experiencias,
pasando,experiencias,
pasaron,experiencias,
paseamos,actividades,
paseo,actividades,
pasto,ecosistema,
pasábamos,experiencias,
pasó,experiencias,
pata,ecosistema,
patas,ecosistema,
patasca,cocina,
patinar,actividades,
patines,cotidiano,
pañuelo,cotidiano,
pecho,cotidiano,
pedir,identidad,
pegajosa,descripciones,
pegamos,actividades,
pegué,actividades,
pelar,actividades,
pelea,actividades,
peleamos,actividades,
peligrosas,descripciones,
pepas,ecosistema,
pepitas,ecosistema,
perales,ecosistema,
perlitas,ecosistema,
persigue,actividades,
pertenecemos,identidad,
pertenezco,identidad,
pesadilla,sentimientos,
pesca,trabajo,
picaron,trabajo,
picota,trabajo,
pie,cotidiano,
piensa,identidad,
piensan,identidad,
pierna,cotidiano,
pieza,cotidiano,
pintado,descripciones,
pintando,expresión artística,
pintar,expresión artística,
pintó,experiencias,
pipa,cotidiano,
piratas,descripciones,
piraña,ecosistema,
pirañas,ecosistema,
pisadas,sin definir,
pise,experiencias,
piso,infraestructura urbana,
pisos,infraestructura urbana,
pitanga,cocina,
piña,cocina,
planeta,ecosistema,
planos,trabajo,
platos,cocina,
playas,ecosistema,
plaza,infraestructura urbana,
poderes,descripciones,
podido,sin definir,
podrás,sin definir,
podré,identidad,
polainas,cotidiano,
pollino,sin definir,
pollito,ecosistema,
poncho,cotidiano,
pondré,sin definir,
poner,sin definir,
pones,sin definir,
portero,trabajo,
pozas,ecosistema,
pozos,ecosistema,
preciosas,descripciones,
preguntaba,identidad,
prenderla,sin definir,
prepara,trabajo,
preparar,trabajo,
presentan,trabajo,
presta,aprendizaje,
prima,relaciones,
primaria,aprendizaje,
primera,descripciones,
primeros,descripciones,
primos,relaciones,
principio,aprendizaje,
probado,descripciones,
procesión,cultura/tradiciones,
productos,cotidiano,
profe,relaciones,
profundo,descripciones,
protección,aprendizaje,
protectores,cultura/tradiciones,
protegerse,salud/bienestar,
pueblos,cultura/tradiciones,
puerto,infraestructura urbana,
puntiagudas,descripciones,
punto,sin definir,
pura,aprendizaje,
pájaro,ecosistema,
pétalo,ecosistema,
quebrados,descripciones,
quebramos,experiencias,
quechua,cultura/tradiciones,
quedamos,experiencias,
quedar,sin definir,
quedarnos,sin definir,
quedaron,experiencias,
quedas,sin definir,
quema,descripciones,
queso,cocina,
quesos,cocina,
quieran,sentimientos,
químicos,trabajo,
radio,cotidiano,
ranas,ecosistema,
raras,descripciones,
raro,descripciones,
rasguñado,descripciones,
ratito,experiencias,
rayos,ecosistema,
realizamos,experiencias,
rebaño,trabajo,
recibieron,experiencias,
reciclar,aprendizaje,
reciclen,aprendizaje,
recitamos,expresión artística,
recoge,trabajo,
recogemos,trabajo,
recoger,trabajo,
recogerlas,trabajo,
recolecta,trabajo,
recolectar,trabajo,
recordamos,experiencias,
recorrer,actividades,
refrescante,descripciones,
refrescantes,descripciones,
regalona,sentimientos,
religión,cultura/tradiciones,
relleno,cocina,
remando,actividades,
remover,trabajo,
renovación,descripciones,
reparado,descripciones,
reparando,trabajo,
reparar,trabajo,
repique,expresión artística,
representan,descripciones,
rescatarlas,aprendizaje,
resfriado,salud/bienestar,
respetamos,aprendizaje,
