"id_libro","cluster_lsa_k3","cluster_lsa_k12","cluster_cor_k3","titulo","nivel","etapa"
"L0201",2,8,3,"El señor de los anillos: La comunidad del anillo",10,"Media"
"L0203",2,10,1,"En la muerte de Laura",10,"Media"
"L0204",2,2,1,"Flores para Algernon",10,"Media"
"L0205",2,8,3,"Frankenstein o el moderno Prometeo",10,"Media"
"L0206",3,7,3,"Grandes esperanzas",10,"Media"
"L0208",2,10,1,"Inmóvil en la luz, pero danzante,",10,"Media"
"L0209",3,6,3,"La perla",10,"Media"
"L0210",2,12,1,"Laberinto de la soledad",10,"Media"
"L0211",2,12,1,"Los actuales dilemas del Desarrollo Humano en Chile",10,"Media"
"L0212",1,9,1,"Mapurbe",10,"Media"
"L0213",3,7,3,"Matar a un ruiseñor",10,"Media"
"L0214",1,1,1,"Memorias de un emigrante",10,"Media"
"L0215",2,5,1,"Miltín 1934",10,"Media"
"L0216",2,8,2,"Moradas",10,"Media"
"L0217",2,2,1,"Muda, triste y pensativa",10,"Media"
"L0218",2,2,3,"No pasó nada",10,"Media"
"L0219",2,10,2,"Panteísmo",10,"Media"
"L0221",3,6,3,"Rebeldes",10,"Media"
"L0222",2,2,3,"Rebelión en la granja",10,"Media"
"L0223",3,7,3,"Si esto es un hombre",10,"Media"
"L0224",2,10,2,"Sonetos",10,"Media"
"L0225",1,1,1,"Yo tengo un sueño",10,"Media"
"L0226",1,1,1,"El coordinador",10,"Media"
"L0227",1,1,1,"El coordinador",11,"Media"
"L0228",2,8,3,"Hijo de ladrón",10,"Media"
"L0229",2,8,3,"Hijo de ladrón",11,"Media"
"L0230",2,8,3,"Hijo de ladrón",12,"Media"
"L0232",2,2,1,"Abuelita Opalina",3,"Basica inicial"
"L0237",1,1,1,"Blancanieve y Rojaflor",3,"Basica inicial"
"L0238",2,2,1,"Bolita",3,"Basica inicial"
"L0239",1,1,1,"Carlota y la Mona Lisa",3,"Basica inicial"
"L0240",1,1,1,"Carlota y Monna Lisa",3,"Basica inicial"
"L0241",1,1,1,"Cenicienta",3,"Basica inicial"
"L0245",2,2,1,"Cuentos por teléfono",3,"Basica inicial"
"L0246",1,1,1,"El amigo del duende Melodía",3,"Basica inicial"
"L0247",1,1,1,"El diablo y el boxeador",3,"Basica inicial"
"L0250",1,1,1,"El flojo, el sabio y el lobo",3,"Basica inicial"
"L0252",1,1,1,"El loro pelado",3,"Basica inicial"
"L0253",1,1,1,"El pájaro del alma",3,"Basica inicial"
"L0254",1,1,1,"El pato y la serpiente",3,"Basica inicial"
"L0255",1,1,1,"El pescador y el pececito dorado",3,"Basica inicial"
"L0256",1,1,1,"El rey pico de tordo",3,"Basica inicial"
"L0258",1,1,1,"El tesoro que la tierra oculta",3,"Basica inicial"
"L0260",1,1,1,"El zorro y las uvas",3,"Basica inicial"
"L0261",1,1,1,"La abeja haragana",3,"Basica inicial"
"L0262",3,6,3,"La astuta hija del campesino",3,"Basica inicial"
"L0263",1,1,1,"La bella durmiente",3,"Basica inicial"
"L0264",1,1,1,"La gallina de los huevos de oro",3,"Basica inicial"
"L0266",1,1,1,"La lechera",3,"Basica inicial"
"L0267",1,1,1,"La zorra y la liebre",3,"Basica inicial"
"L0268",1,1,1,"Las hadas",3,"Basica inicial"
"L0269",1,1,1,"Las medias de los flamencos",3,"Basica inicial"
"L0270",1,1,1,"Los dos amigos y el oso",3,"Basica inicial"
"L0271",1,1,1,"Los dos conejos",3,"Basica inicial"
"L0272",1,1,1,"Los tres deseos",3,"Basica inicial"
"L0274",2,2,3,"Papelucho",3,"Basica inicial"
"L0275",2,2,3,"Papelucho y el marciano",3,"Basica inicial"
"L0277",1,9,1,"Piedras de fuego",3,"Basica inicial"
"L0278",1,1,1,"Pulgarcita",3,"Basica inicial"
"L0280",1,1,1,"Ratón de campo y ratón de ciudad",3,"Basica inicial"
"L0286",1,1,1,"El gato con botas",3,"Basica inicial"
"L0287",1,1,1,"El gato con botas",5,"Basica superior"
"L0288",2,2,3,"Bartleby, el escribano",11,"Media"
"L0289",2,5,1,"Canto a su amor desaparecido",11,"Media"
"L0290",2,10,2,"Canto del macho anciano y otros poemas",11,"Media"
"L0291",3,6,3,"Carol",11,"Media"
"L0292",3,7,3,"Cómo me hice monja",11,"Media"
"L0293",3,7,3,"Cuentos de buenas noches para niñas rebeldes",11,"Media"
"L0294",3,7,3,"Daisy Miller",11,"Media"
"L0295",2,11,2,"Don Quijote de la Mancha",11,"Media"
"L0296",2,8,3,"Drácula",11,"Media"
"L0297",2,12,1,"El consumo me consume",11,"Media"
"L0299",2,11,2,"El ingenioso hidalgo don Quijote de La Mancha: primera parte",11,"Media"
"L0300",2,11,2,"El ingenioso hidalgo don Quijote de La Mancha: segunda parte",11,"Media"
"L0301",2,2,3,"El lugar sin límites",11,"Media"
"L0302",2,8,3,"El señor de las moscas",11,"Media"
"L0303",3,7,3,"El túnel",11,"Media"
"L0304",2,5,1,"Eloy",11,"Media"
"L0305",1,1,1,"Emma Zunz",11,"Media"
"L0306",1,1,1,"Ética para Amador",11,"Media"
"L0307",3,7,3,"Facundo",11,"Media"
"L0308",2,2,1,"Hechos consumados",11,"Media"
"L0309",3,7,3,"Inés del alma mía",11,"Media"
"L0310",2,12,3,"La cucaracha soñadora",11,"Media"
"L0311",3,7,3,"La hora de la estrella",11,"Media"
"L0312",2,2,3,"La isla a mediodía",11,"Media"
"L0313",2,8,3,"La metamorfosis",11,"Media"
"L0316",3,7,3,"La tía Julia y el escribidor",11,"Media"
"L0317",2,10,2,"Lagar",11,"Media"
"L0318",2,2,3,"Las babas del diablo",11,"Media"
"L0319",3,7,3,"Las batallas en el desierto",11,"Media"
"L0320",3,7,3,"Las relaciones peligrosas",11,"Media"
"L0321",2,5,1,"Los dones previsibles",11,"Media"
"L0323",3,7,3,"Los pasos perdidos",11,"Media"
"L0324",3,7,3,"Los siete locos",11,"Media"
"L0325",3,6,3,"Los vagabundos del Dharma",11,"Media"
"L0326",2,2,1,"Naciste pintada",11,"Media"
"L0327",2,10,2,"Poesía completa",11,"Media"
"L0328",2,10,2,"Poesías completas",11,"Media"
"L0329",3,7,3,"Primer amor",11,"Media"
"L0330",2,2,1,"Qué vergüenza",11,"Media"
"L0331",2,2,1,"Recado confidencial a los chilenos",11,"Media"
"L0332",3,6,3,"Reducciones",11,"Media"
"L0333",2,10,2,"Residencia en la Tierra",11,"Media"
"L0334",3,7,3,"Rosaura a las diez",11,"Media"
"L0335",3,7,3,"Sensatez y sentimientos",11,"Media"
"L0337",3,7,3,"Tlön, Uqbar, Orbis Terti",11,"Media"
"L0338",2,2,3,"Todos los fuegos el fuego",11,"Media"
"L0339",3,6,3,"Tokio blues",11,"Media"
"L0341",2,8,3,"La Metamorfosis",11,"Media"
"L0342",2,8,3,"La Metamorfosis",12,"Media"
"L0343",1,1,1,"La noche boca arriba",11,"Media"
"L0344",1,1,1,"La noche boca arriba",12,"Media"
"L0345",2,2,3,"Pantaleón y las visitadoras",11,"Media"
"L0346",2,2,3,"Pantaleón y las visitadoras",12,"Media"
"L0347",2,8,3,"Un mundo feliz",11,"Media"
"L0348",2,8,3,"Un mundo feliz",12,"Media"
"L0349",2,12,1,"¿Es lógico? Análisis y evaluación de argumentos",11,"Media"
"L0350",2,12,1,"¿Es lógico? Análisis y evaluación de argumentos",12,"Media"
"L0353",2,12,1,"El problema de los géneros discursivos",11,"Media"
"L0354",2,12,1,"El problema de los géneros discursivos",12,"Media"
"L0355",2,12,1,"Las consignas de enseñanza de la lengua. Un análisis desde el interaccionismo socio-discursivo",11,"Media"
"L0356",2,12,1,"Las consignas de enseñanza de la lengua. Un análisis desde el interaccionismo socio-discursivo",12,"Media"
"L0357",2,12,1,"Pensamiento y lenguaje. Teoría del desarrollo cultural de las funciones psíquicas",11,"Media"
"L0358",2,12,1,"Pensamiento y lenguaje. Teoría del desarrollo cultural de las funciones psíquicas",12,"Media"
"L0359",2,2,1,"¡Judy Moody es doctora!",4,"Basica inicial"
"L0360",1,1,1,"Aladino y la lámpara maravillosa",4,"Basica inicial"
"L0361",1,1,1,"Androcles y el león (leyenda romana)",4,"Basica inicial"
"L0362",2,2,1,"Angélica",4,"Basica inicial"
"L0366",1,1,1,"Canción del pirata",4,"Basica inicial"
"L0368",1,1,1,"Cuentos para niños",4,"Basica inicial"
"L0369",1,1,1,"El burro flautista",4,"Basica inicial"
"L0371",1,1,1,"El enano saltarín (Rumpelstilzchen",4,"Basica inicial"
"L0372",1,1,1,"El flautista de Hamelin",4,"Basica inicial"
"L0373",1,1,1,"El gallito de oro",4,"Basica inicial"
"L0375",1,1,1,"El patito feo",4,"Basica inicial"
"L0378",1,1,1,"El ruiseñor",4,"Basica inicial"
"L0379",1,1,1,"El soldadito de plomo",4,"Basica inicial"
"L0380",2,2,1,"El terror del sexto B",4,"Basica inicial"
"L0381",1,1,1,"El tigre negro y el venado blanco",4,"Basica inicial"
"L0383",2,8,1,"Fray Perico y su borrico",4,"Basica inicial"
"L0384",1,1,1,"Ícaro y Dédalo (mito griego",4,"Basica inicial"
"L0385",1,1,1,"La bella y la bestia",4,"Basica inicial"
"L0387",1,1,1,"La caperucita roja",4,"Basica inicial"
"L0388",1,9,1,"La creación del mundo (mito mapuche)",4,"Basica inicial"
"L0389",1,9,1,"La leyenda del Pehuén (leyenda mapuche)",4,"Basica inicial"
"L0390",2,8,1,"La nariz",4,"Basica inicial"
"L0391",1,1,1,"La pluma del halcón altanero",4,"Basica inicial"
"L0392",1,1,1,"La serpiente blanca",4,"Basica inicial"
"L0394",1,1,1,"La zarevna muerta y los siete guerreros",4,"Basica inicial"
"L0395",1,1,1,"Las tres mentiras",4,"Basica inicial"
"L0396",1,9,1,"Leyenda del copihue (leyenda mapuche)",4,"Basica inicial"
"L0397",1,1,1,"Los duraznos",4,"Basica inicial"
"L0398",1,1,1,"Medusa (mito griego)",4,"Basica inicial"
"L0401",2,2,3,"Un ladrón entre nosotros",4,"Basica inicial"
"L0403",2,4,2,"Antiguo Testamento",4,"Basica inicial"
"L0404",2,4,2,"Antiguo Testamento",6,"Basica superior"
"L0405",2,4,2,"Antiguo Testamento",7,"Basica superior"
"L0406",3,6,3,"¿Sueñan los androides con ovejas eléctricas?",12,"Media"
"L0407",3,7,3,"1984",12,"Media"
"L0408",2,5,1,"A partir de Manhattan",12,"Media"
"L0409",2,2,1,"A puerta cerrada",12,"Media"
"L0410",3,7,3,"Benito Cereno",12,"Media"
"L0411",2,2,3,"Boquitas pintadas",12,"Media"
"L0412",2,3,2,"Caín",12,"Media"
"L0413",2,5,1,"Cipango",12,"Media"
"L0414",3,7,3,"Conversación en La Catedral",12,"Media"
"L0415",3,7,3,"Crimen y castigo",12,"Media"
"L0416",3,7,3,"De amor y de sombra",12,"Media"
"L0417",3,7,3,"Del amor y otros demonios",12,"Media"
"L0418",3,6,3,"Desastres íntimos",12,"Media"
"L0419",3,6,3,"Desde el jardín",12,"Media"
"L0420",3,7,3,"Duna",12,"Media"
"L0421",3,7,3,"El Aleph",12,"Media"
"L0422",3,7,3,"El astillero",12,"Media"
"L0423",2,2,1,"El baile",12,"Media"
"L0424",2,5,1,"El cepillo de dientes",12,"Media"
"L0425",1,1,1,"El cerdito",12,"Media"
"L0426",3,7,3,"El denario del sueño",12,"Media"
"L0427",1,1,1,"El drama del desencantado",12,"Media"
"L0428",3,7,3,"El extranjero",12,"Media"
"L0429",3,7,3,"El libro de arena",12,"Media"
"L0430",2,2,1,"El llano en llamas",12,"Media"
"L0431",1,1,1,"El otro yo",12,"Media"
"L0432",2,5,1,"El padre mío",12,"Media"
"L0433",3,7,3,"El rastro",12,"Media"
"L0434",2,2,1,"El vestido blanco",12,"Media"
"L0435",3,7,3,"Ensayo sobre la ceguera",12,"Media"
"L0436",2,10,1,"Espantapájaros",12,"Media"
"L0437",3,6,3,"Fahrenheit 451",12,"Media"
"L0438",3,7,3,"Flores oscuras",12,"Media"
"L0439",3,7,3,"Fuegos",12,"Media"
"L0440",2,2,1,"Hans Pozo",12,"Media"
"L0441",2,12,3,"Kaddish para el hijo no nacido",12,"Media"
"L0442",2,5,1,"La bandera de Chile",12,"Media"
"L0443",1,1,1,"La casa de Asterión",12,"Media"
"L0444",1,1,1,"La ciudad lucía",12,"Media"
"L0445",3,6,3,"La maravillosa vida breve de Óscar Wao",12,"Media"
"L0447",3,7,3,"La palabra del mudo",12,"Media"
"L0448",3,7,3,"La señora Dalloway",12,"Media"
"L0449",2,2,3,"La señorita Cora",12,"Media"
"L0450",2,5,1,"La última niebla",12,"Media"
"L0451",2,10,2,"Las flores del mal",12,"Media"
"L0452",3,7,3,"Las genealogías",12,"Media"
"L0453",3,6,3,"Leviatán",12,"Media"
"L0454",3,7,3,"Lo que queda del día",12,"Media"
"L0455",3,6,3,"Los detectives salvajes",12,"Media"
"L0456",3,7,3,"Los emigrados",12,"Media"
"L0457",3,7,3,"Madame Bovary",12,"Media"
"L0458",3,7,3,"Operación masacre",12,"Media"
"L0459",3,7,3,"Otra vuelta de tuerca",12,"Media"
"L0461",2,2,1,"Pedro Páramo",12,"Media"
"L0462",1,1,2,"Poemas de amor",12,"Media"
"L0463",2,2,3,"Siete días de la señora K.",12,"Media"
"L0464",3,7,3,"Tres tristes tigres",12,"Media"
"L0465",2,2,1,"Un tranvía llamado deseo",12,"Media"
"L0466",3,6,3,"Una historia del mundo en diez capítulos y medio",12,"Media"
"L0467",2,2,3,"Una sombra ya pronto serás",12,"Media"
"L0468",3,7,3,"Veinticuatro horas en la vida de una mujer",12,"Media"
"L0469",1,1,1,"Alí Baba y los cuarenta ladrones (Las mil y una noches)",5,"Basica superior"
"L0470",1,1,1,"Amor a la vida",5,"Basica superior"
"L0473",1,1,1,"Después de veinte años",5,"Basica superior"
"L0474",1,1,1,"El asno descontento",5,"Basica superior"
"L0475",1,1,1,"El burro que acarrea sal",5,"Basica superior"
"L0476",1,9,1,"El día que Txeg Txeg y Kay Kay no se saludaron",5,"Basica superior"
"L0477",1,1,1,"El hombre que contaba Historias",5,"Basica superior"
"L0478",1,1,1,"El lobo y el cabrito",5,"Basica superior"
"L0479",1,1,1,"El oso, la mona y el cerdo",5,"Basica superior"
"L0480",1,1,1,"El pequeño elefante",5,"Basica superior"
"L0481",1,1,1,"El pequeño escribiente florentino",5,"Basica superior"
"L0482",3,6,3,"El pequeño Nicolás",5,"Basica superior"
"L0483",1,1,1,"El traje nuevo del emperador",5,"Basica superior"
"L0484",1,1,1,"Episdio de los molinos de viento (Don Quijote de la Mancha)",5,"Basica superior"
"L0485",3,7,3,"Guillermo",5,"Basica superior"
"L0486",3,6,3,"Harry Potter y la piedra filosofal",5,"Basica superior"
"L0487",2,2,3,"Heidi",5,"Basica superior"
"L0488",1,1,1,"Juan sin miedo",5,"Basica superior"
"L0489",1,1,1,"La niña de los gansos",5,"Basica superior"
"L0490",1,1,1,"Las babuchas fatídicas (Las mil y una noches)",5,"Basica superior"
"L0491",1,1,1,"Las dos ranas (cuentos de la Pachatantra)",5,"Basica superior"
"L0492",3,6,3,"Las telarañas de Carlota",5,"Basica superior"
"L0493",1,1,1,"Los cretinos",5,"Basica superior"
"L0494",1,1,1,"Los dos amantes (leyenda mexicana precolombina)",5,"Basica superior"
"L0495",3,6,3,"Los secuestradores de burros",5,"Basica superior"
"L0499",1,1,1,"Ulises y el cíclope",5,"Basica superior"
"L0500",1,1,1,"Un pacto con el diablo",5,"Basica superior"
"L0501",1,1,3,"Rip Van Winkle",5,"Basica superior"
"L0502",1,1,3,"Rip Van Winkle",7,"Basica superior"
"L0503",1,1,1,"¿Buena suerte o mala suerte? (cuento sufí)",6,"Basica superior"
"L0504",1,1,1,"Aracné",6,"Basica superior"
"L0505",2,11,2,"Capítulo XXV: donde se apunta la aventura del rebuzno (Don Quijote de la Mancha)",6,"Basica superior"
"L0506",3,6,3,"Colmillo Blanco",6,"Basica superior"
"L0507",3,7,3,"Corazón",6,"Basica superior"
"L0509",1,1,1,"Cuentos clásicos de Andersen",6,"Basica superior"
"L0511",2,8,3,"El Ankus del rey",6,"Basica superior"
"L0512",2,2,1,"El cuarto de guardar",6,"Basica superior"
"L0513",1,1,1,"El huevo de yegua (Pedro Urdemales)",6,"Basica superior"
"L0514",3,6,3,"El jardín secreto",6,"Basica superior"
"L0515",3,6,3,"El jinete sin cabeza",6,"Basica superior"
"L0516",2,8,3,"El libro de la selva",6,"Basica superior"
"L0517",2,2,1,"El libro de los chicos enamorados",6,"Basica superior"
"L0518",2,2,3,"El mapa imposible",6,"Basica superior"
"L0519",1,1,1,"El picapedrero (cuento popular chino)",6,"Basica superior"
"L0522",1,1,1,"El príncipe feliz",6,"Basica superior"
"L0523",3,7,3,"El príncipe y el mendigo",6,"Basica superior"
"L0524",1,1,1,"El rescate del jefe Rojo",6,"Basica superior"
"L0525",1,1,1,"El rey Midas",6,"Basica superior"
"L0529",2,8,3,"En la ciudad de los Césares",6,"Basica superior"
"L0530",1,1,1,"Felicidad clandestina",6,"Basica superior"
"L0531",1,1,1,"Iván el imbécil",6,"Basica superior"
"L0532",3,6,3,"Konrad",6,"Basica superior"
"L0534",1,1,1,"La caja de Pandora",6,"Basica superior"
"L0535",2,2,1,"La casa de muñecas",6,"Basica superior"
"L0536",1,1,1,"La Cenicienta",6,"Basica superior"
"L0537",1,1,1,"La historia de Abdula, el mendigo ciego (en Las mil y una noches)",6,"Basica superior"
"L0538",3,6,3,"La historia interminable",6,"Basica superior"
"L0540",1,1,3,"La reina de las nieves",6,"Basica superior"
"L0541",1,1,3,"La Sirenita",6,"Basica superior"
"L0543",1,1,1,"La vendedora de fósforos",6,"Basica superior"
"L0544",2,8,3,"Las aventuras del barón de Munchausen",6,"Basica superior"
"L0545",3,6,3,"Las crónicas de Narnia: El león, la bruja y el ropero",6,"Basica superior"
"L0546",3,6,3,"Los escarabajos vuelan al atardecer",6,"Basica superior"
"L0547",2,8,3,"Los perros rojos",6,"Basica superior"
"L0548",2,2,1,"Malditas matemáticas",6,"Basica superior"
"L0549",3,6,3,"Matilda",6,"Basica superior"
"L0550",3,6,3,"Momo",6,"Basica superior"
"L0551",3,7,3,"Mujercitas",6,"Basica superior"
"L0553",3,7,3,"Pacha Pulai",6,"Basica superior"
"L0554",3,7,3,"Papaíto piernas largas",6,"Basica superior"
"L0555",2,10,2,"Platero y yo",6,"Basica superior"
"L0556",2,8,3,"Rikki-tikki-tavi",6,"Basica superior"
"L0557",2,8,3,"Robin Hood",6,"Basica superior"
"L0558",2,2,1,"Socorro (varios cuentos)",6,"Basica superior"
"L0559",3,7,3,"Tom Sawyer",6,"Basica superior"
"L0560",2,8,3,"Travesía infernal",6,"Basica superior"
"L0561",1,1,1,"Vassilissa la sabia (cuento popular ruso)",6,"Basica superior"
"L0564",2,2,3,"Cuentos escritos a máquina",6,"Basica superior"
"L0565",2,2,3,"Cuentos escritos a máquina",8,"Basica superior"
"L0566",1,1,1,"La pata de palo",6,"Basica superior"
