"id_libro","titulo","nivel","n_palabras","titulo_duplicado","contenido_duplicado","md5"
"L0187","Bartelby, el escribiente",10,12706,FALSE,TRUE,"fe653b349a3949241fa803b64e3125ae"
"L0194","Don Quijote de la Mancha: segunda parte",10,200258,FALSE,TRUE,"3838f6606c087ca8d7f8d61a447f0315"
"L0195","El conde de Montecristo",10,444101,TRUE,TRUE,"e58b60cde3085e27c6aecc04e78dddc8"
"L0196","El dador",10,44758,TRUE,TRUE,"ebb8091ba6eea394b6ade5338f3a3f34"
"L0197","El inspector",10,25070,FALSE,TRUE,"0dcec62b5f65e884a10fa8ed0f662622"
"L0198","El retrato de Dorian Gray",10,78012,TRUE,TRUE,"ff17f715637170a9a59b25f8518c9f8e"
"L0199","El señor de las moscas",10,64454,TRUE,TRUE,"be00dacd14134c8adf80882aa418b7ce"
"L0200","El señor de los anillos",10,93832,FALSE,TRUE,"646039e252ada3ea5863bff27e15296b"
"L0201","El señor de los anillos: La comunidad del anillo",10,93832,FALSE,TRUE,"646039e252ada3ea5863bff27e15296b"
"L0205","Frankenstein o el moderno Prometeo",10,68189,FALSE,TRUE,"c6100df3ae670de778ebc95108afb00e"
"L0222","Rebelión en la granja",10,28887,FALSE,TRUE,"61b5e518392be2ca83a36f79a5f2e4e6"
"L0226","El coordinador",10,8642,TRUE,TRUE,"fa5e7f667d0ad1a9256f9a5b7489fc13"
"L0227","El coordinador",11,8642,TRUE,TRUE,"fa5e7f667d0ad1a9256f9a5b7489fc13"
"L0228","Hijo de ladrón",10,100142,TRUE,TRUE,"e349a8cf8e5688986dea2287111f64ea"
"L0229","Hijo de ladrón",11,100142,TRUE,TRUE,"e349a8cf8e5688986dea2287111f64ea"
"L0230","Hijo de ladrón",12,100142,TRUE,TRUE,"e349a8cf8e5688986dea2287111f64ea"
"L0239","Carlota y la Mona Lisa",3,2493,FALSE,TRUE,"7771cd231ae7262f17acc8f0e194c6cb"
"L0240","Carlota y Monna Lisa",3,2493,FALSE,TRUE,"7771cd231ae7262f17acc8f0e194c6cb"
"L0241","Cenicienta",3,1555,FALSE,TRUE,"eb1ccae42a2de746433d014e54191a8b"
"L0286","El gato con botas",3,1688,TRUE,TRUE,"2ac7635dd293646bcae086a37e20762c"
"L0287","El gato con botas",5,1688,TRUE,TRUE,"2ac7635dd293646bcae086a37e20762c"
"L0288","Bartleby, el escribano",11,12706,FALSE,TRUE,"fe653b349a3949241fa803b64e3125ae"
"L0296","Drácula",11,163462,TRUE,TRUE,"0ff94d184d77f3a445723f80059d9b65"
"L0299","El ingenioso hidalgo don Quijote de La Mancha: primera parte",11,187570,FALSE,TRUE,"85ba959377356b9a78b36f066f38a126"
"L0300","El ingenioso hidalgo don Quijote de La Mancha: segunda parte",11,196855,TRUE,FALSE,"ed0ec0ac5e695c35573080aa95b2a687"
"L0302","El señor de las moscas",11,64454,TRUE,TRUE,"be00dacd14134c8adf80882aa418b7ce"
"L0313","La metamorfosis",11,21476,TRUE,FALSE,"467c1dee4c9e3b6e1c88034be24242a7"
"L0341","La Metamorfosis",11,18403,TRUE,TRUE,"629accc352ea156355c95da689f6ac59"
"L0342","La Metamorfosis",12,18403,TRUE,TRUE,"629accc352ea156355c95da689f6ac59"
"L0343","La noche boca arriba",11,3143,TRUE,TRUE,"8a1c304c11cbe6cb8e9d843e00f478f6"
"L0344","La noche boca arriba",12,3143,TRUE,TRUE,"8a1c304c11cbe6cb8e9d843e00f478f6"
"L0345","Pantaleón y las visitadoras",11,82154,TRUE,TRUE,"8d6fd782e4bd38fce36cc7f3917b0814"
"L0346","Pantaleón y las visitadoras",12,82154,TRUE,TRUE,"8d6fd782e4bd38fce36cc7f3917b0814"
"L0347","Un mundo feliz",11,65834,TRUE,TRUE,"4da77b743259883f29c1619f3688ba01"
"L0348","Un mundo feliz",12,65834,TRUE,TRUE,"4da77b743259883f29c1619f3688ba01"
"L0349","¿Es lógico? Análisis y evaluación de argumentos",11,80950,TRUE,TRUE,"65e56555f9e249be94ff702988b8ca7f"
"L0350","¿Es lógico? Análisis y evaluación de argumentos",12,80950,TRUE,TRUE,"65e56555f9e249be94ff702988b8ca7f"
"L0353","El problema de los géneros discursivos",11,19063,TRUE,TRUE,"47f0cfa20d94c3aab7ff3a4f782283d2"
"L0354","El problema de los géneros discursivos",12,19063,TRUE,TRUE,"47f0cfa20d94c3aab7ff3a4f782283d2"
"L0355","Las consignas de enseñanza de la lengua. Un análisis desde el interaccionismo socio-discursivo",11,6978,TRUE,TRUE,"6be790f65b6b9aabf84024e9e56e49af"
"L0356","Las consignas de enseñanza de la lengua. Un análisis desde el interaccionismo socio-discursivo",12,6978,TRUE,TRUE,"6be790f65b6b9aabf84024e9e56e49af"
"L0357","Pensamiento y lenguaje. Teoría del desarrollo cultural de las funciones psíquicas",11,66691,TRUE,TRUE,"2ab536be2f6e2373aad72f8ca34fd5fd"
"L0358","Pensamiento y lenguaje. Teoría del desarrollo cultural de las funciones psíquicas",12,66691,TRUE,TRUE,"2ab536be2f6e2373aad72f8ca34fd5fd"
"L0403","Antiguo Testamento",4,763706,TRUE,TRUE,"ced078d3c9a2f79a758ebfc4b6d12d47"
"L0404","Antiguo Testamento",6,763706,TRUE,TRUE,"ced078d3c9a2f79a758ebfc4b6d12d47"
"L0405","Antiguo Testamento",7,763706,TRUE,TRUE,"ced078d3c9a2f79a758ebfc4b6d12d47"
"L0423","El baile",12,12701,TRUE,TRUE,"a78b8a1f8a875193dd2359837aaa4196"
"L0443","La casa de Asterión",12,947,TRUE,TRUE,"96b475ba3c58437d45869443e715b0fc"
"L0462","Poemas de amor",12,4102,TRUE,TRUE,"2381a8e5668176ff3e07ddf2db6b955a"
"L0501","Rip Van Winkle",5,7403,TRUE,TRUE,"31a8f8c4ba9a13f09b5e822b6642a03c"
"L0502","Rip Van Winkle",7,7403,TRUE,TRUE,"31a8f8c4ba9a13f09b5e822b6642a03c"
"L0505","Capítulo XXV: donde se apunta la aventura del rebuzno (Don Quijote de la Mancha)",6,200258,FALSE,TRUE,"3838f6606c087ca8d7f8d61a447f0315"
"L0531","Iván el imbécil",6,9576,TRUE,TRUE,"5118504313b1dc87a1da7df9a11584f9"
"L0536","La Cenicienta",6,1555,FALSE,TRUE,"eb1ccae42a2de746433d014e54191a8b"
"L0544","Las aventuras del barón de Munchausen",6,30098,FALSE,TRUE,"d9ba80c4f7ed91683808a9e6507d0a04"
"L0557","Robin Hood",6,16177,TRUE,FALSE,"5bf237615ad588e2fe264cc8505b0902"
"L0564","Cuentos escritos a máquina",6,53742,TRUE,TRUE,"573102670f4dde2a174a774d3e504913"
"L0565","Cuentos escritos a máquina",8,53742,TRUE,TRUE,"573102670f4dde2a174a774d3e504913"
"L0566","La pata de palo",6,1589,TRUE,TRUE,"67b63c9dee5a5d29611b2e63fbd45d41"
"L0567","La pata de palo",8,1589,TRUE,TRUE,"67b63c9dee5a5d29611b2e63fbd45d41"
"L0578","Cuentos de amor, de locura y de muerte",7,49909,TRUE,TRUE,"f3b7031b84759a1a313356aecdf366fa"
"L0583","El capitán Alatriste",7,53191,TRUE,TRUE,"b5fb9a3ff76d5db37f4f3399b0058e73"
"L0584","El capitán Alatriste",7,53191,TRUE,TRUE,"b5fb9a3ff76d5db37f4f3399b0058e73"
"L0586","El conde Lucanor",7,57849,TRUE,TRUE,"51b3e7e3c064276e097fdd202d72a9f0"
"L0588","El dador",7,44758,TRUE,TRUE,"ebb8091ba6eea394b6ade5338f3a3f34"
"L0590","El extraño caso del doctor Jekyll y el señor Hyde",7,25965,FALSE,TRUE,"5c2220d2e9e59fa8b19aaa6570ec12f9"
"L0591","El extraño caso del doctor Jekyll y Mr. Hyde",7,25965,FALSE,TRUE,"5c2220d2e9e59fa8b19aaa6570ec12f9"
"L0627","Las minas del rey Salomón",7,84267,TRUE,TRUE,"cef6a7e34b0448d30f4c9c6c246b087f"
"L0628","Las minas del rey Salomón",7,84267,TRUE,TRUE,"cef6a7e34b0448d30f4c9c6c246b087f"
"L0633","Memoria del fuego I: Los nacimientos",7,92180,FALSE,TRUE,"1b64a4529209373df8f35aaa60d00b6b"
"L0635","Mitos de memoria del fuego",7,92180,FALSE,TRUE,"1b64a4529209373df8f35aaa60d00b6b"
"L0648","Robin Hood",7,110436,TRUE,TRUE,"63e66986aa46a8e004d1d59693dbf94d"
"L0649","Robin Hood",7,110436,TRUE,TRUE,"63e66986aa46a8e004d1d59693dbf94d"
"L0658","Sub-Terra",7,48469,TRUE,TRUE,"0ba2243dc75eeb7555d341311a5f5ab7"
"L0659","Sub-Terra",10,48469,TRUE,TRUE,"0ba2243dc75eeb7555d341311a5f5ab7"
"L0660","La Odisea",7,118426,TRUE,TRUE,"d51f69f9f636a5f97561b4d2e43e8662"
"L0661","La Odisea",11,118426,TRUE,TRUE,"d51f69f9f636a5f97561b4d2e43e8662"
"L0662","La Araucana",7,148,TRUE,TRUE,"3e94fe9d84b81279b4bc585ca30e9b03"
"L0663","La Araucana",8,148,TRUE,TRUE,"3e94fe9d84b81279b4bc585ca30e9b03"
"L0664","La Ilíada",7,149716,TRUE,TRUE,"26c1b7249a139d04c2f9cee4a67afed2"
"L0665","La Ilíada",8,149716,TRUE,TRUE,"26c1b7249a139d04c2f9cee4a67afed2"
"L0666","Don Quijote de la Mancha: primera parte",7,187570,TRUE,TRUE,"85ba959377356b9a78b36f066f38a126"
"L0667","Don Quijote de la Mancha: primera parte",8,187570,TRUE,TRUE,"85ba959377356b9a78b36f066f38a126"
"L0668","Don Quijote de la Mancha: primera parte",10,187570,TRUE,TRUE,"85ba959377356b9a78b36f066f38a126"
"L0669","Sub-Sole",7,43706,TRUE,TRUE,"56ba44e8e4f2904f96f10f23708d9727"
"L0670","Sub-Sole",8,43706,TRUE,TRUE,"56ba44e8e4f2904f96f10f23708d9727"
"L0671","Sub-Sole",10,43706,TRUE,TRUE,"56ba44e8e4f2904f96f10f23708d9727"
"L0676","Cuentos judíos de la aldea de Chelm",8,10622,TRUE,TRUE,"dafb8eb5264c3201d0e77f497ba0bded"
"L0677","Cuentos judíos de la aldea de Chelm",8,10622,TRUE,TRUE,"dafb8eb5264c3201d0e77f497ba0bded"
"L0679","Divina comedia",8,116923,FALSE,TRUE,"173968180b19c5e5aa829f5f9f0f45e6"
"L0687","El fugitivo",8,75226,TRUE,TRUE,"e169e86195b69bbce9ad6d1fd529ee46"
"L0688","El fugitivo",8,75226,TRUE,TRUE,"e169e86195b69bbce9ad6d1fd529ee46"
"L0698","La Divina Comedia",8,116923,FALSE,TRUE,"173968180b19c5e5aa829f5f9f0f45e6"
"L0706","Poema de Mío Cid",8,37682,FALSE,TRUE,"92fe42dc6f26a64fa51d53b897130d74"
"L0707","Poema del Mío Cid",8,37682,FALSE,TRUE,"92fe42dc6f26a64fa51d53b897130d74"
"L0714","La Eneida",8,185822,TRUE,TRUE,"43253d94edbfe0ed690d586b261c3a7d"
"L0715","La Eneida",11,185822,TRUE,TRUE,"43253d94edbfe0ed690d586b261c3a7d"
"L0716","La hija del capitán",8,36889,TRUE,TRUE,"faa17930646cae360dec7b55abde898d"
"L0717","La hija del capitán",11,36889,TRUE,TRUE,"faa17930646cae360dec7b55abde898d"
"L0718","Los heraldos negros",8,8414,TRUE,TRUE,"c08c4eac9a8b50ad43604c2cc5ce53eb"
"L0719","Los heraldos negros",12,8414,TRUE,TRUE,"c08c4eac9a8b50ad43604c2cc5ce53eb"
"L0720","Los juegos del hambre",8,592191,TRUE,TRUE,"909eefa37312a2f1f53beedf3c25ec9d"
"L0721","Los juegos del hambre",12,592191,TRUE,TRUE,"909eefa37312a2f1f53beedf3c25ec9d"
